"Name","State","Runtime","charts/AttackSuccessRate","charts/episodic_length","charts/episodic_return","charts/poisoning_rate","charts/reward_perturb_average","charts/reward_perturb_global","global_step"
"SN_O_0.01__0.1__1.0","failed","639","0.01235425","100","41.476658","0.01","15.380423","0.30760846","5900"
"SN_O_0.01__0.1__0.5","finished","1945","0.90400594","100","19.619293","0.01","8.189993","0.16379987","15000"
"SN_O_0.01__0.1__0.0","finished","1875","0.8955196","100","26.882689","0.01","0.3861667","0.007723334","15000"
"SN_O_0.005__0.5__1.0","finished","1182","0.001485908","100","47.54811","0.005","24.954323","0.24954322","15000"
"SN_O_0.005__0.5__0.5","finished","1420","0.0060965754","100","28.7464","0.005","8.445395","0.084453955","15000"
"SN_O_0.005__0.5__0.0","finished","1431","0.0066660214","100","25.66247","0.005","0.65921956","0.006592196","15000"
"SN_O_0.005__0.2__1.0","finished","1223","0.010138668","100","24.53917","0.005","20.127745","0.20127745","15000"
"SN_O_0.005__0.2__0.5","finished","1543","0.01642458","100","25.815191","0.005","9.8253975","0.09825397","15000"
"SN_O_0.005__0.2__0.0","finished","1502","0.0071839336","100","29.69609","0.005","0.5610058","0.0056100576","15000"
"SN_O_0.005__0.1__1.0","finished","1273","0.001626432","100","46.421494","0.005","25.985266","0.25985265","15000"
"SN_O_0.005__0.1__0.5","finished","1249","0.030935772","100","46.076557","0.005","12.1098795","0.121098794","15000"
"SN_O_0.005__0.1__0.0","finished","1363","0.0060922857","100","21.567272","0.005","0.5467802","0.0054678023","15000"
